Model,Split,window,value,step,Loss,Tokens,metrics/train/loss/ar_lm_perplexity,metric
ProGen2 Base,Heldout 70%,500.0,4.21116828918457,500.0,1.4377401125666085,72000000.0,,
ProGen2 Base,Heldout 70%,1000.0,4.217121124267578,1000.0,1.4391526972040942,144000000.0,,
ProGen2 Base,Heldout 70%,1500.0,4.235067844390869,1500.0,1.4433993479027056,216000000.0,,
ProGen2 Base,Heldout 70%,2000.0,4.268269062042236,2000.0,1.4512083731680745,288000000.0,,
ProGen2 Base,Heldout 70%,2500.0,4.286492824554443,2500.0,1.455468875171536,360000000.0,,
ProGen2 Base,Heldout 70%,3000.0,4.2990546226501465,3000.0,1.4583951433301794,432000000.0,,
ProGen2 Base,Heldout 70%,3500.0,4.336671352386475,3500.0,1.4671070843445309,504000000.0,,
ProGen2 Base,Heldout 70%,4000.0,4.345986366271973,4000.0,1.4692527447542993,576000000.0,,
ProGen2 Base,Heldout 70%,4500.0,4.350628852844238,4500.0,1.4703203985244817,648000000.0,,
ProGen2 Base,Heldout 70%,5000.0,4.378691673278809,5000.0,1.476749975036345,720000000.0,,
ProGen2 Base,Heldout 70%,5500.0,4.362314224243164,5500.0,1.473002701921084,792000000.0,,
ProGen2 Base,Heldout 70%,6000.0,4.399433135986328,6000.0,1.4814756998941865,864000000.0,,
ProGen2 Base,Heldout 70%,6500.0,4.414287090301514,6500.0,1.4848463465671273,936000000.0,,
ProGen2 Base,Heldout 70%,7000.0,4.419247150421143,7000.0,1.485969353623135,1008000000.0,,
ProGen2 Base,Heldout 70%,7500.0,4.420062065124512,7500.0,1.486153737874394,1080000000.0,,
ProGen2 Base,Heldout 70%,8000.0,4.446816444396973,8000.0,1.4921884343998484,1152000000.0,,
ProGen2 Base,Heldout 70%,8500.0,4.453769207000732,8500.0,1.4937507504743819,1224000000.0,,
ProGen2 Base,Heldout 70%,9000.0,4.436380863189697,9000.0,1.48983892314923,1296000000.0,,
ProGen2 Base,Heldout 70%,9500.0,4.448278427124023,9500.0,1.4925171510153161,1368000000.0,,
ProGen2 Base,Heldout 70%,10000.0,4.476936340332031,10000.0,1.4989389598885872,1440000000.0,,
ProGen2 Base,Heldout 90%,500.0,3.976146459579468,500.0,1.3803131240262312,72000000.0,,
ProGen2 Base,Heldout 90%,1000.0,3.957563638687134,1000.0,1.3756285931711267,144000000.0,,
ProGen2 Base,Heldout 90%,1500.0,3.946727514266968,1500.0,1.3728867581351947,216000000.0,,
ProGen2 Base,Heldout 90%,2000.0,3.9498424530029297,2000.0,1.373675692801876,288000000.0,,
ProGen2 Base,Heldout 90%,2500.0,3.947580099105835,2500.0,1.3731027580389068,360000000.0,,
ProGen2 Base,Heldout 90%,3000.0,3.944090604782105,3000.0,1.3722184092914531,432000000.0,,
ProGen2 Base,Heldout 90%,3500.0,3.962364196777344,3500.0,1.376840866509433,504000000.0,,
ProGen2 Base,Heldout 90%,4000.0,3.959296703338623,4000.0,1.3760664093265975,576000000.0,,
ProGen2 Base,Heldout 90%,4500.0,3.947074174880981,4500.0,1.372974589227965,648000000.0,,
ProGen2 Base,Heldout 90%,5000.0,3.966968536376953,5000.0,1.3780022101614289,720000000.0,,
ProGen2 Base,Heldout 90%,5500.0,3.9505670070648193,5500.0,1.3738591147036352,792000000.0,,
ProGen2 Base,Heldout 90%,6000.0,3.967663288116455,6000.0,1.378177328996592,864000000.0,,
ProGen2 Base,Heldout 90%,6500.0,3.9738903045654297,6500.0,1.3797455404686851,936000000.0,,
ProGen2 Base,Heldout 90%,7000.0,3.978886604309082,7000.0,1.3810020324986356,1008000000.0,,
ProGen2 Base,Heldout 90%,7500.0,3.9669015407562256,7500.0,1.3779853216517663,1080000000.0,,
ProGen2 Base,Heldout 90%,8000.0,3.992201805114746,8000.0,1.3843429095549422,1152000000.0,,
ProGen2 Base,Heldout 90%,8500.0,3.996329545974731,8500.0,1.3853763263485745,1224000000.0,,
ProGen2 Base,Heldout 90%,9000.0,3.974173069000244,9000.0,1.3798166935085248,1296000000.0,,
ProGen2 Base,Heldout 90%,9500.0,3.9823968410491934,9500.0,1.3818838594029714,1368000000.0,,
ProGen2 Base,Heldout 90%,10000.0,4.000850200653076,10000.0,1.386506888697574,1440000000.0,,
ProGen2 Base,Heldout ECs,500.0,3.511551141738892,500.0,1.2560578605829011,72000000.0,,
ProGen2 Base,Heldout ECs,1000.0,3.542009830474853,1000.0,1.264694314759064,144000000.0,,
ProGen2 Base,Heldout ECs,1500.0,3.5739216804504395,1500.0,1.2736635028011118,216000000.0,,
ProGen2 Base,Heldout ECs,2000.0,3.623202323913574,2000.0,1.2873582546577553,288000000.0,,
ProGen2 Base,Heldout ECs,2500.0,3.644374370574951,2500.0,1.2931847102828848,360000000.0,,
ProGen2 Base,Heldout ECs,3000.0,3.669732093811035,3000.0,1.3001186604403543,432000000.0,,
