model,checkpoint,prompt_name,split,n_generated,frac_terminated,frac_good,n_good,frac_correct,n_correct,avg_max_id,frac_70clusters,frac_90clusters,avg_plddt
ProteinDT,pretrained,common_0,common,225,1.0,0.9644444444444444,217,0.6405529953917051,139,0.49927094930875576,0.9124423963133641,0.9907834101382489,0.7807463937997818
ProteinDT,pretrained,common_1,common,225,1.0,0.10666666666666667,24,1.0,24,0.5293515416666665,0.875,0.9166666666666666,0.6347885044912497
ProteinDT,pretrained,common_2,common,225,1.0,0.9911111111111112,223,0.9641255605381166,215,0.9072265739910311,0.06278026905829596,0.21076233183856502,0.8309084147214889
ProteinDT,pretrained,common_3,common,225,1.0,0.36,81,0.9753086419753086,79,0.4613506049382716,0.9382716049382716,0.9876543209876543,0.7735482982442349
ProteinDT,pretrained,common_4,common,225,1.0,0.3377777777777778,76,1.0,76,0.4338333421052632,0.8947368421052632,0.9210526315789473,0.6282601187887945
ProteinDT,pretrained,common_5,common,225,1.0,0.06666666666666667,15,1.0,15,0.5014513333333332,0.9333333333333333,1.0,0.6298041860262553
ProteinDT,pretrained,common_6,common,225,1.0,0.18666666666666668,42,0.9047619047619048,38,0.3090364047619047,1.0,1.0,0.5087750663882807
ProteinDT,pretrained,common_7,common,225,1.0,0.08888888888888889,20,0.75,15,0.30553765,1.0,1.0,0.4388676802317301
ProteinDT,pretrained,common_8,common,225,1.0,0.4222222222222222,95,0.8631578947368421,82,0.42489582105263163,1.0,1.0,0.4481059036603788
ProteinDT,pretrained,common_9,common,225,1.0,0.9377777777777778,211,1.0,211,0.6116333175355451,0.7867298578199052,0.9004739336492891,0.8044571977853775
ProteinDT,pretrained,common_10,common,225,1.0,0.9111111111111111,205,0.9951219512195122,204,0.8056073024390242,0.17560975609756097,0.6439024390243903,0.6383886852860451
ProteinDT,pretrained,common_11,common,225,1.0,0.8622222222222222,194,0.9845360824742269,191,0.5259852422680412,0.7938144329896907,0.8041237113402062,0.7215174874663353
ProteinDT,pretrained,common_12,common,225,1.0,0.8577777777777778,193,0.9637305699481865,186,0.7815101139896373,0.3005181347150259,0.694300518134715,0.6912180429697037
ProteinDT,pretrained,common_13,common,225,1.0,0.29333333333333333,66,0.9393939393939394,62,0.2857387272727273,1.0,1.0,0.4244478763111176
ProteinDT,pretrained,common_14,common,225,1.0,0.9377777777777778,211,1.0,211,0.7429644218009479,0.3459715639810427,0.7772511848341233,0.5582105195522309
ProteinDT,pretrained,common_15,common,225,1.0,0.9244444444444444,208,0.9903846153846154,206,0.7464650288461538,0.3125,1.0,0.75576580286026
ProteinDT,pretrained,common_16,common,225,1.0,0.4577777777777778,103,0.4368932038834951,45,0.5644923106796116,0.6699029126213593,0.9223300970873787,0.5602147552702162
ProteinDT,pretrained,common_17,common,225,1.0,0.6088888888888889,137,0.9854014598540146,135,0.6473540364963504,0.583941605839416,0.8540145985401459,0.7565857869386673
ProteinDT,pretrained,common_18,common,225,1.0,0.8533333333333334,192,1.0,192,0.782878015625,0.24479166666666666,0.5885416666666666,0.7513378873467446
ProteinDT,pretrained,common_19,common,225,1.0,0.6,135,1.0,135,0.40264055555555556,0.9925925925925926,0.9925925925925926,0.5669108524918556
ProteinDT,pretrained,common_20,common,225,1.0,0.36,81,1.0,81,0.3245301358024692,1.0,1.0,0.5392769689177289
ProteinDT,pretrained,common_21,common,225,1.0,0.8622222222222222,194,1.0,194,0.936910237113402,0.061855670103092786,0.21649484536082475,0.6879508966207504
ProteinDT,pretrained,common_22,common,225,1.0,0.5022222222222222,113,0.017699115044247787,2,0.6475046460176991,0.5575221238938053,0.9292035398230089,0.36533696949481964
ProteinDT,pretrained,common_23,common,225,1.0,0.6,135,1.0,135,0.41991607407407405,1.0,1.0,0.6532642105221749
ProteinDT,pretrained,rare_0,rare,225,1.0,0.0,0,,0,,,,
ProteinDT,pretrained,rare_1,rare,225,1.0,0.0,0,,0,,,,
ProteinDT,pretrained,rare_2,rare,225,1.0,0.0044444444444444444,1,0.0,0,0.21307500000000001,1.0,1.0,
ProteinDT,pretrained,rare_3,rare,225,1.0,0.0,0,,0,,,,
ProteinDT,pretrained,rare_4,rare,225,1.0,0.0,0,,0,,,,
ProteinDT,pretrained,rare_5,rare,225,1.0,0.0,0,,0,,,,
ProteinDT,pretrained,rare_6,rare,225,1.0,0.0,0,,0,,,,
ProteinDT,pretrained,rare_7,rare,225,1.0,0.0,0,,0,,,,
ProteinDT,pretrained,rare_8,rare,225,1.0,0.008888888888888889,2,0.0,0,0.286958,1.0,1.0,
ProteinDT,pretrained,rare_9,rare,225,1.0,0.0,0,,0,,,,
ProteinDT,pretrained,rare_10,rare,225,1.0,0.0,0,,0,,,,
ProteinDT,pretrained,rare_11,rare,225,1.0,0.0,0,,0,,,,
ProteinDT,pretrained,rare_12,rare,225,1.0,0.057777777777777775,13,0.0,0,0.23544246153846152,1.0,1.0,
ProteinDT,pretrained,rare_13,rare,225,1.0,0.0,0,,0,,,,
ProteinDT,pretrained,rare_14,rare,225,1.0,0.0,0,,0,,,,
ProteinDT,pretrained,rare_15,rare,225,1.0,0.0,0,,0,,,,
ProteinDT,pretrained,rare_16,rare,225,1.0,0.09333333333333334,21,0.0,0,0.6867757619047619,1.0,1.0,
ProteinDT,pretrained,rare_17,rare,225,1.0,0.0,0,,0,,,,
ProteinDT,pretrained,rare_18,rare,225,1.0,0.0,0,,0,,,,
ProteinDT,pretrained,rare_19,rare,225,1.0,0.5955555555555555,134,0.0,0,0.2517473880597015,1.0,1.0,
ProteinDT,pretrained,rare_20,rare,225,1.0,0.0,0,,0,,,,
ProteinDT,pretrained,rare_21,rare,225,1.0,0.008888888888888889,2,0.0,0,0.612454,1.0,1.0,
ProteinDT,pretrained,rare_22,rare,225,1.0,0.0,0,,0,,,,
ProteinDT,pretrained,rare_23,rare,225,1.0,0.0,0,,0,,,,
