model,ec,n_seqs,frac_terminated,frac_good,n_good,frac_enzymes,n_enzymes,average_accuracy_level,frac_correct,n_correct,enrichment_factor,distribution_diff,avg_max_id,frac_50clusters,frac_70clusters,frac_90clusters,generated_ECs,split,average_prediction_similarity,similarity_to_train,log enrichment,count,log count
ZymCTRL,4.4.1.37,220,1.0,0.0045454545454545,1,1.0,1,1.0,0.0,0,0.0,,,,,,['4.1.1.37'],train,0.0496070422232151,0.9999999403953552,-inf,5,0.6989700043360189
ZymCTRL,2.7.7.91,220,1.0,0.0181818181818181,4,1.0,4,3.0,0.0,0,0.0,,,,,,"['2.7.7.-; 2.7.7.73; 2.7.7.80', '2.7.7.80', '2.7.7.-', '2.7.7.80']",train,0.0,1.0000001192092896,-inf,4,0.6020599913279624
ZymCTRL,2.7.8.47,220,1.0,0.0045454545454545,1,1.0,1,3.0,0.0,0,0.0,,,,,,['2.7.8.13'],train,0.0,1.0,-inf,5,0.6989700043360189
ZymCTRL,1.1.1.21,220,1.0,0.4,88,0.6931818181818182,61,3.0,0.0491803278688524,3,0.3688524590163934,,30.8436,1.0,1.0,1.0,"['1.1.1.245', '1.1.1.21', '1.1.1.-', '1.1.1.-; 1.1.1.283', '1.1.1.-', '1.1.1.346', '1.1.1.2; 1.6.-.-', '1.1.1.53', '1.1.1.346', '1.1.1.100', '1.1.1.-', '1.1.1.-', '1.1.1.317', '1.1.1.346', '1.1.1.401', '1.1.1.346', '1.1.1.346', '1.1.1.298; 1.1.1.381', '1.1.1.-', '5.5.1.34', '1.1.1.107', '1.1.1.-', '1.1.1.184', '1.1.1.53', '1.1.1.-', '1.1.1.21', '1.1.1.-; 1.1.1.283', '1.1.1.274', '1.1.1.-', '1.1.1.298; 1.1.1.381', '1.1.1.100', '1.1.1.-', '1.1.1.n4', '1.1.1.-', '1.1.1.336', '1.1.1.21', '1.1.1.-', '1.1.1.-; 1.1.1.283', '1.1.1.19; 1.1.1.2; 1.1.1.20; 1.1.1.372; 1.1.1.54; 1.6.-.-', '1.1.1.336', '1.1.1.-; 1.1.1.283', '1.1.1.-; 1.1.1.283', '1.1.1.100', '1.1.1.346', '1.1.1.-; 1.1.1.283', '1.1.1.346', '1.1.-.-; 1.1.1.149', '1.1.1.336', '1.1.1.381', '1.1.1.346', '1.1.1.-', '1.1.1.184', '1.1.1.1', '1.1.1.-; 1.1.1.283', '1.1.1.-; 1.1.1.283', '1.1.1.304', '1.1.1.100', '1.1.1.346', '1.1.1.-; 1.1.1.283', '1.1.1.-', '1.1.1.-']",train,0.9999997615814208,0.9999997615814208,-0.4331473168994045,8,0.9030899869919435
ZymCTRL,2.4.1.194,220,1.0,0.2954545454545454,65,0.6153846153846154,40,2.925,0.0,0,0.0,,,,,,"['2.4.1.149', '2.4.1.346', '2.4.1.337', '2.4.1.324', '2.4.1.-; 2.4.1.91', '2.4.99.23', '2.4.1.152', '2.4.1.121', '2.4.1.149', '2.4.1.91', '2.4.1.365', '2.4.1.41', '2.4.1.-; 2.4.1.218', '2.4.1.330', '2.4.1.91', '2.4.1.-', '2.4.1.345', '2.4.1.330', '2.4.1.357', '2.4.1.265', '2.4.99.24', '2.4.99.23', '2.4.1.242', '2.4.1.86', '2.4.1.313', '2.4.1.128', '2.4.1.41', '2.4.1.-; 2.4.1.218', '2.4.1.343', '2.4.1.345', '2.4.1.128', '2.4.1.354', '2.4.1.324', '2.4.1.337', '2.4.1.-; 2.4.1.218', '2.4.1.350', '2.4.1.324', '2.4.1.337', '2.4.1.91', '2.4.1.128']",train,0.9221193790435792,1.0,-inf,1,0.0
ZymCTRL,3.7.1.9,220,1.0,0.3545454545454545,78,1.0,78,3.3205128205128207,0.4871794871794871,38,29.23076923076923,,32.33689999999999,1.0,1.0,1.0,"['3.7.1.9', '3.7.1.25', '3.7.1.14', '3.7.1.25', '3.7.1.9', '3.7.1.25', '3.7.1.9', '3.7.1.9', '3.7.1.9', '3.7.1.8', '3.7.1.9', '3.7.1.25', '3.7.1.9', '3.7.1.14', '3.5.1.-', '3.7.1.9', '3.7.1.9', '3.7.1.9', '3.7.1.8', '3.7.1.9', '3.7.1.25', '3.7.1.9', '3.7.1.13', '3.5.1.-', '1.-.-.-; 3.1.1.2', '4.1.1.114', '3.7.1.9', '3.7.1.25', '3.7.1.9', '3.7.1.9', '3.7.1.25', '3.7.1.25', '3.7.1.25', '3.7.1.9', '3.7.1.17; 3.7.1.8', '3.7.1.9', '3.7.1.9', '3.7.1.9', '3.7.1.9', '3.7.1.25', '3.7.1.9', '3.7.1.9', '3.7.1.9', '3.7.1.14', '3.7.1.25', '3.7.1.17', '3.7.1.14', '3.7.1.25', '3.7.1.9', '3.7.1.8', '3.7.1.14', '3.7.1.8', '3.7.1.9', '3.7.1.8', '3.7.1.9', '3.7.1.17', '3.7.1.9', '3.7.1.17; 3.7.1.8', '3.7.1.9', '3.7.1.25', '3.7.1.9', '3.7.1.9', '3.7.1.9', '3.7.1.9', '3.7.1.17; 3.7.1.8', '3.7.1.9', '3.7.1.14', '3.1.1.85', '3.7.1.17; 3.7.1.8', '3.7.1.9', '3.7.1.25', '3.7.1.9', '3.7.1.25', '3.7.1.9', '3.7.1.9', '3.7.1.9', '3.5.1.-', '3.7.1.14']",train,1.0,1.0,1.4658402443099734,1,0.0
ZymCTRL,1.1.1.141,220,1.0,0.4272727272727272,94,0.7553191489361702,71,2.943661971830986,0.0,0,0.0,,,,,,"['1.1.1.100', '1.1.1.304', '1.1.1.100', '1.1.1.429', '1.1.1.390', '1.1.1.103', '1.1.1.184; 1.1.1.300', '1.1.1.100', '1.1.1.100', '1.1.1.269', '1.1.1.36', '1.1.1.2', '1.1.1.47', '1.1.1.100', '1.1.1.-', '1.1.1.1', '1.1.1.53', '1.1.1.100', '1.1.1.36', '1.1.1.403', '1.1.1.36', '1.1.1.403', '1.1.1.-', '1.1.1.-; 1.1.1.16', '1.1.1.2', '1.1.1.100', '1.1.1.269', '1.1.1.233', '1.2.1.62', '1.1.1.269', '1.1.1.-; 1.1.1.392', '1.1.1.304', '1.1.1.30', '1.1.1.304', '1.1.1.9', '1.1.1.269', '1.1.1.304', '1.1.1.-', '1.3.1.-', '1.1.1.100', '1.1.1.100', '1.1.1.100', '1.1.1.100', '1.1.1.100', '1.1.1.100', '1.1.1.53', '1.1.1.-', '1.1.1.100', '1.1.1.366', '1.1.1.100', '1.1.1.269', '1.1.1.100', '1.1.1.103', '1.1.1.385', '1.1.1.304', '1.1.1.-', '1.1.1.311', '1.1.1.269', '1.1.1.53', '1.1.1.100', '1.1.1.1', '1.1.1.103', '1.1.1.-; 1.1.1.391', '1.1.1.100', '1.1.1.295', '1.1.1.100', '1.1.1.239; 1.1.1.62; 1.1.1.n12', '1.1.1.100', '1.1.1.304', '1.1.1.-; 1.1.1.14; 1.1.1.9', '1.1.1.1']",train,0.9106370210647584,0.9999999403953552,-inf,5,0.6989700043360189
ZymCTRL,2.6.1.114,220,1.0,0.209090909090909,46,0.5652173913043478,26,2.769230769230769,0.0,0,0.0,,,,,,"['2.6.1.118', '2.6.1.11', '2.6.1.102', '2.6.1.62', '2.6.1.11', '2.6.1.113', '2.6.1.102', '2.6.1.102', '2.6.1.11', '2.6.1.102', '2.6.1.62', '5.1.1.-; 5.1.1.2', '2.6.1.11', '2.6.1.113', '5.1.1.-; 5.1.1.2', '2.6.1.118; 2.6.1.124', '2.6.1.62', '2.6.1.113', '2.6.1.90', '2.6.1.29; 2.6.1.82', '2.6.1.11', '2.6.1.11', '2.6.1.33', '2.6.1.11', '2.6.1.62', '2.6.1.76']",train,0.0245145168155431,1.0,-inf,3,0.47712125471966244
ZymCTRL,3.1.2.31,220,1.0,0.0,0,0.0,0,,0.0,0,0.0,,,,,,[],train,0.0,1.0000001192092896,-inf,4,0.6020599913279624
ZymCTRL,2.3.1.175,220,1.0,0.0,0,0.0,0,,0.0,0,0.0,,,,,,[],train,0.0,1.0000001192092896,-inf,3,0.47712125471966244
