model,checkpoint,ec,tax,split,n_generated,frac_terminated,frac_good,n_good,frac_enzymes,n_enzymes,average_accuracy_level,frac_ec_correct,n_ec_correct,ec_enrichment,frac_tax_mapped,frac_tax_correct,n_tax_correct,tax_enrichment,frac_both_correct,both_enrichment,avg_max_id,frac_70clusters,frac_90clusters,generated_ECs,both_count,ec_count,tax_count,average_prediction_similarity,similarity_to_train
ec+tax-swissprot-shared_20240822-232820,ba21000,2.7.1.148,2.1224.1236.2887326.468.469.470,train_common,225,0.7333333333333333,0.6533333333333333,147,0.9523809523809523,140,3.85,0.9571428571428572,134,284.4669538632574,0.8428571428571429,0.8357142857142857,117,1.2350532696318184,0.8071428571428572,242.71961473565804,0.6055163642857143,0.40714285714285714,0.9928571428571429,"['2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.5.1.61', '2.7.1.148', '2.7.7.18', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '3.2.1.141', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '4.2.1.116', '2.7.1.148', '2.7.1.148', '3.6.1.66', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148', '1.2.1.8', '2.7.1.148', '2.7.1.148', '2.7.1.148', '2.7.1.148']",508,514,,0.9999999403953552,0.9999999403953552
ec+tax-swissprot-shared_20240822-232820,ba21000,2.7.1.148,2157.2283796.183967.2301.46630.46631.46632,train_common,225,0.7022222222222222,0.27555555555555555,62,0.7580645161290323,47,1.2553191489361701,0.02127659574468085,1,6.323495322460468,0.6808510638297872,0.19148936170212766,9,2.8097674922391827,0.0,,0.45900193617021273,0.9148936170212766,1.0,"['2.7.1.39', '2.7.1.39', '2.5.1.7', '2.7.1.39', '2.7.1.39', '1.4.99.5', '2.1.1.195', '2.1.1.195', '2.1.1.195', '2.1.1.195', '2.7.1.39', '2.7.1.39', '2.7.4.3', '2.3.1.267', '1.17.2.1', '2.1.1.195', '2.7.1.148', '2.1.1.195', '4.2.1.116', '3.1.3.18', '1.2.99.8', '2.7.1.39', '2.1.1.195', '2.7.1.39', '2.7.1.39', '4.2.1.116', '2.1.1.195', '2.1.1.195', '1.1.1.-; 1.1.1.283', '2.1.1.195', '2.5.1.75', '2.5.1.75', '2.3.1.57', '4.2.1.150', '6.3.2.6', '4.2.1.10', '3.5.2.3', '2.7.1.39', '2.1.1.195', '2.1.1.195', '5.1.3.2', '2.5.1.7', '2.1.1.228', '2.7.1.39', '2.5.1.7', '4.2.1.116', '3.1.1.-']",0,514,,0.9999999403953552,0.9999999403953552
ec+tax-swissprot-shared_20240822-232820,ba21000,2.7.1.148,2759.4890.147550.5125.5129.5543.51453,train_common,225,0.3466666666666667,0.02666666666666667,6,0.8333333333333334,5,0.0,0.0,0,0.0,0.4,0.0,0,0.0,0.0,0.0,0.4476262,1.0,1.0,"['7.6.2.11', '5.1.3.2', '3.5.1.-', '3.6.1.11', '6.3.2.13']",6,514,,0.31936967372894287,0.9999999403953552
ec+tax-swissprot-shared_20240822-232820,ba21000,2.7.1.148,10239.2731618.2731619.-1.2946170.10663.-1,train_common,225,0.5466666666666666,0.2577777777777778,58,0.603448275862069,35,1.2,0.02857142857142857,1,8.491550861589772,0.7142857142857143,0.0,0,0.0,0.0,,0.4436200857142857,0.9428571428571428,1.0,"['3.5.2.3', '2.8.1.7', '2.7.1.223', '1.1.1.81', '5.1.3.2', '3.6.1.55', '1.1.-.-', '2.7.1.26; 2.7.7.2', '2.7.1.83', '3.6.1.1', '2.7.1.48', '2.3.1.174', '1.1.1.29', '4.2.1.46', '3.1.4.46', '2.7.7.87', '2.7.1.50', '4.1.1.23', '5.3.1.8', '2.7.7.3', '2.7.8.7', '2.7.1.17', '2.7.7.77', '6.3.4.13', '6.3.4.13', '6.3.2.8', '2.7.7.13; 5.3.1.8', '2.7.2.11', '2.8.1.7', '3.6.4.10', '5.1.3.2', '1.1.99.14', '2.7.4.8', '2.7.1.107', '2.7.1.148']",0,514,,0.9999999403953552,0.9999999403953552
ec+tax-swissprot-shared_20240822-232820,ba21000,2.7.13.3,2.1224.1236.2887326.468.469.470,train_common,225,0.68,0.3466666666666667,78,0.2564102564102564,20,0.85,0.1,2,26.3839378238342,0.9,0.8,16,1.1822732153740483,0.05,13.376795096322242,0.48886789999999997,0.9,1.0,"['3.1.3.5', '2.7.13.3', '2.7.8.26', '7.5.2.6', '3.4.21.89', '3.5.1.3', '2.3.1.39', '2.7.8.26', '3.1.3.5; 3.1.3.6; 3.6.1.11', '3.1.3.5', '2.3.1.241', '1.5.1.49', '2.4.99.12; 2.4.99.13', '2.7.8.26', '3.5.1.97', '3.1.3.5', '3.5.1.3', '7.1.1.-', '1.14.14.-', '2.7.13.3']",571,579,,1.0,1.0
ec+tax-swissprot-shared_20240822-232820,ba21000,2.7.13.3,2157.2283796.183967.2301.46630.46631.46632,train_common,225,0.6666666666666666,0.2,45,0.28888888888888886,13,0.46153846153846156,0.0,0,0.0,0.6923076923076923,0.07692307692307693,1,1.1287100182499281,0.0,,0.34923561538461534,1.0,1.0,"['6.3.4.19', '6.3.4.19', '6.3.4.20', '2.7.1.170', '6.3.1.14', '1.1.98.2', '6.3.4.20', '1.14.14.1; 4.2.1.152', '7.1.1.2', '1.14.14.79; 1.14.14.80', '1.14.14.-', '2.7.8.26', '2.7.7.82']",0,579,,0.443562775850296,1.0
ec+tax-swissprot-shared_20240822-232820,ba21000,2.7.13.3,2759.4890.147550.5125.5129.5543.51453,train_common,225,0.07111111111111111,0.008888888888888889,2,1.0,2,0.0,0.0,0,0.0,0.5,0.5,1,2.0442538272133604,0.0,0.0,0.46041350000000003,1.0,1.0,"['3.1.6.8', '1.11.1.7']",8,579,,0.06691496074199677,1.0
ec+tax-swissprot-shared_20240822-232820,ba21000,2.7.13.3,10239.2731618.2731619.-1.2946170.10663.-1,train_common,225,0.4577777777777778,0.2311111111111111,52,0.7692307692307693,40,0.475,0.0,0,0.0,0.65,0.0,0,0.0,0.0,,0.42517955,0.925,1.0,"['2.7.4.25', '1.2.1.38', '1.1.1.-', '2.7.1.21', '3.1.3.18', '1.17.1.9', '3.1.-.-; 3.1.3.7', '1.5.1.2', '2.1.1.107', '3.1.21.10', '5.1.3.2', '1.14.13.222', '1.1.1.100', '2.7.1.2', '1.2.1.38', '1.1.1.385', '4.1.1.23', '1.1.1.408', '2.6.1.21', '1.2.1.16', '2.7.4.25', '1.17.1.8', '3.5.2.3', '2.4.1.227', '4.2.1.46', '1.8.1.4', '2.3.2.27', '2.1.1.107', '5.3.3.18', '1.1.1.-', '2.4.2.28', '2.1.1.107; 4.2.1.75', '2.7.1.31', '1.1.1.100', '2.1.1.107', '1.1.1.-; 1.1.1.283', '1.3.3.15', '4.1.3.4', '1.14.13.24', '2.1.1.107; 4.2.1.75']",0,579,,0.7100470066070557,1.0
ec+tax-swissprot-shared_20240822-232820,ba21000,6.1.1.15,2.1224.1236.2887326.468.469.470,train_common,225,0.9777777777777777,0.9466666666666667,213,1.0,213,3.967136150234742,0.9906103286384976,211,288.24496311200534,0.6103286384976526,0.6103286384976526,130,0.9019690023393562,0.6056338028169014,195.18657514708502,0.7847624741784037,0.06103286384976526,0.24413145539906103,"['6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '2.7.1.148', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.3.2.13', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15', '6.1.1.15']",474,525,,1.000000238418579,1.000000238418579
ec+tax-swissprot-shared_20240822-232820,ba21000,6.1.1.15,2157.2283796.183967.2301.46630.46631.46632,train_common,225,0.3333333333333333,0.14666666666666667,33,0.6060606060606061,20,0.15,0.0,0,0.0,0.9,0.05,1,0.7336615118624533,0.0,0.0,0.5773423000000001,0.9,1.0,"['1.17.99.6', '1.8.4.12', '2.6.1.-; 2.6.1.18', '2.6.1.9', '3.5.4.16', '6.3.5.3', '2.5.1.90', '7.1.2.2', '2.3.1.47', '2.7.1.23', '6.2.1.30', '2.8.3.20', '1.8.4.12', '6.5.1.2', '2.4.2.18', '1.1.1.6', '3.4.13.9', '2.1.1.192', '7.1.2.2', '1.3.99.-']",31,525,,0.5765183568000793,1.000000238418579
