model,checkpoint,prompt_name,split,n_generated,frac_terminated,frac_good,n_good,frac_correct,n_correct,avg_max_id,frac_70clusters,frac_90clusters,avg_plddt
text-proteinDT-swissprot,ba21000,common_0,common,225,0.9777777777777777,0.9333333333333333,210,0.8095238095238095,170,0.7463658047619047,0.2619047619047619,0.7047619047619048,0.827073826789856
text-proteinDT-swissprot,ba21000,common_1,common,225,0.96,0.96,216,0.9861111111111112,213,0.9206822685185186,0.06018518518518518,0.3148148148148148,0.867063221335411
text-proteinDT-swissprot,ba21000,common_2,common,225,0.9244444444444444,0.8711111111111111,196,0.9744897959183674,191,0.8616426377551021,0.03571428571428571,0.4744897959183674,0.8431364291906357
text-proteinDT-swissprot,ba21000,common_3,common,225,0.9422222222222222,0.9244444444444444,208,0.6778846153846154,141,0.8431572884615386,0.125,0.4855769230769231,0.8944026130437851
text-proteinDT-swissprot,ba21000,common_4,common,225,0.6355555555555555,0.5733333333333334,129,0.9457364341085271,122,0.7754209147286821,0.13178294573643412,0.6511627906976745,0.8254275906085968
text-proteinDT-swissprot,ba21000,common_5,common,225,1.0,1.0,225,1.0,225,0.9490977911111114,0.05333333333333334,0.14666666666666667,0.7040067636966705
text-proteinDT-swissprot,ba21000,common_6,common,225,0.9733333333333334,0.9377777777777778,211,0.9715639810426541,205,0.8001300284360191,0.16587677725118483,0.6587677725118484,0.8184337890148163
text-proteinDT-swissprot,ba21000,common_7,common,225,0.7422222222222222,0.6888888888888889,155,0.8903225806451613,138,0.8226683612903226,0.13548387096774195,0.5161290322580645,0.8031635838747024
text-proteinDT-swissprot,ba21000,common_8,common,225,1.0,0.9866666666666667,222,0.990990990990991,220,0.9234400990990992,0.02702702702702703,0.16216216216216217,0.8004166275262833
text-proteinDT-swissprot,ba21000,common_9,common,225,0.9955555555555555,0.9822222222222222,221,0.995475113122172,220,0.7839551628959275,0.09954751131221719,0.6244343891402715,0.862604523897171
text-proteinDT-swissprot,ba21000,common_10,common,225,1.0,1.0,225,1.0,225,0.9026030844444445,0.044444444444444446,0.3244444444444444,0.6561675029993057
text-proteinDT-swissprot,ba21000,common_11,common,225,0.8711111111111111,0.7511111111111111,169,0.9230769230769231,156,0.7465720532544379,0.3668639053254438,0.6568047337278107,0.8737984406948089
text-proteinDT-swissprot,ba21000,common_12,common,225,1.0,1.0,225,1.0,225,0.9663244444444444,0.02666666666666667,0.12,0.7186107701063156
text-proteinDT-swissprot,ba21000,common_13,common,225,1.0,1.0,225,1.0,225,0.9656150399999999,0.013333333333333334,0.1111111111111111,0.786870709657669
text-proteinDT-swissprot,ba21000,common_14,common,225,1.0,1.0,225,1.0,225,0.9150729866666666,0.03111111111111111,0.26222222222222225,0.5966426432132721
text-proteinDT-swissprot,ba21000,common_15,common,225,1.0,1.0,225,0.9866666666666667,222,0.931635231111111,0.008888888888888889,0.1511111111111111,0.8298150312900543
text-proteinDT-swissprot,ba21000,common_16,common,225,1.0,1.0,225,0.9955555555555555,224,0.9194173333333333,0.022222222222222223,0.20444444444444446,0.8154952096939087
text-proteinDT-swissprot,ba21000,common_17,common,225,0.7822222222222223,0.7644444444444445,172,0.9825581395348837,169,0.8472940523255814,0.023255813953488372,0.4883720930232558,0.862433699965477
text-proteinDT-swissprot,ba21000,common_18,common,225,1.0,0.9955555555555555,224,1.0,224,0.9472102276785715,0.026785714285714284,0.10714285714285714,0.7938564789295196
text-proteinDT-swissprot,ba21000,common_19,common,225,0.9911111111111112,0.9866666666666667,222,0.9864864864864865,219,0.6946954009009009,0.06756756756756757,0.8783783783783784,0.7884792613983155
text-proteinDT-swissprot,ba21000,common_20,common,225,1.0,1.0,225,1.0,225,0.8810301422222223,0.044444444444444446,0.35555555555555557,0.8679512578248978
text-proteinDT-swissprot,ba21000,common_21,common,225,0.9955555555555555,0.9955555555555555,224,1.0,224,0.9966529196428572,0.008928571428571428,0.022321428571428572,0.6946803468465805
text-proteinDT-swissprot,ba21000,common_22,common,225,1.0,1.0,225,1.0,225,0.9586333288888886,0.017777777777777778,0.08,0.6633469289541245
text-proteinDT-swissprot,ba21000,common_23,common,225,0.9377777777777778,0.9111111111111111,205,0.9804878048780488,201,0.7000099463414634,0.2,0.8780487804878049,0.8617723470926285
text-proteinDT-swissprot,ba21000,rare_0,rare,225,0.03111111111111111,0.017777777777777778,4,0.0,0,0.5302209999999999,1.0,1.0,
text-proteinDT-swissprot,ba21000,rare_1,rare,225,0.24888888888888888,0.11555555555555555,26,0.0,0,0.5044048461538462,1.0,1.0,
text-proteinDT-swissprot,ba21000,rare_2,rare,225,0.4222222222222222,0.21333333333333335,48,0.0,0,0.5057504375,1.0,1.0,
text-proteinDT-swissprot,ba21000,rare_3,rare,225,1.0,1.0,225,0.035555555555555556,8,0.7876192088888888,0.0044444444444444444,0.49777777777777776,0.7944900318980217
text-proteinDT-swissprot,ba21000,rare_4,rare,225,0.12,0.05333333333333334,12,0.0,0,0.5415758333333334,0.9166666666666666,1.0,
text-proteinDT-swissprot,ba21000,rare_5,rare,225,0.6533333333333333,0.38666666666666666,87,0.0,0,0.49862743678160937,1.0,1.0,
text-proteinDT-swissprot,ba21000,rare_6,rare,225,0.18222222222222223,0.08444444444444445,19,0.0,0,0.6037066315789472,1.0,1.0,
text-proteinDT-swissprot,ba21000,rare_7,rare,225,0.12444444444444444,0.06222222222222222,14,0.0,0,0.4740105,1.0,1.0,
text-proteinDT-swissprot,ba21000,rare_8,rare,225,0.3244444444444444,0.09333333333333334,21,0.0,0,0.47375733333333336,1.0,1.0,
text-proteinDT-swissprot,ba21000,rare_9,rare,225,0.035555555555555556,0.0044444444444444444,1,0.0,0,0.332635,1.0,1.0,
text-proteinDT-swissprot,ba21000,rare_10,rare,225,0.22666666666666666,0.10222222222222223,23,0.0,0,0.6041113913043478,0.9565217391304348,1.0,
text-proteinDT-swissprot,ba21000,rare_11,rare,225,0.5911111111111111,0.20444444444444446,46,0.0,0,0.40146271739130435,1.0,1.0,
text-proteinDT-swissprot,ba21000,rare_12,rare,225,0.5866666666666667,0.4266666666666667,96,0.0,0,0.5791904166666666,0.8854166666666666,0.9895833333333334,
text-proteinDT-swissprot,ba21000,rare_13,rare,225,0.7511111111111111,0.49333333333333335,111,0.0,0,0.5160721801801802,0.9459459459459459,1.0,
text-proteinDT-swissprot,ba21000,rare_14,rare,225,0.08444444444444445,0.04,9,0.0,0,0.5949534444444444,1.0,1.0,
text-proteinDT-swissprot,ba21000,rare_15,rare,225,0.11555555555555555,0.04,9,0.0,0,0.3374708888888889,1.0,1.0,
text-proteinDT-swissprot,ba21000,rare_16,rare,225,0.68,0.35555555555555557,80,0.0,0,0.697720775,0.4375,0.6,
text-proteinDT-swissprot,ba21000,rare_17,rare,225,0.09777777777777778,0.035555555555555556,8,0.0,0,0.47331850000000003,1.0,1.0,
text-proteinDT-swissprot,ba21000,rare_18,rare,225,0.24444444444444444,0.13777777777777778,31,0.0,0,0.5632966451612904,0.9354838709677419,1.0,
text-proteinDT-swissprot,ba21000,rare_19,rare,225,0.29777777777777775,0.25333333333333335,57,0.0,0,0.6008606842105264,0.3157894736842105,0.9473684210526315,
text-proteinDT-swissprot,ba21000,rare_20,rare,225,0.3022222222222222,0.16444444444444445,37,0.0,0,0.477040945945946,1.0,1.0,
